record,ticker,buy_date,buy_price,qty,commissions,sell_date,sell_price,sell_commissions,source,currency,asset_type,notes
,ADBED.BA,2025-09-19,8.42,195.0,0.0,,0.0,0.0,,,,
,ADBED.BA,2025-09-19,8.321215,124.0,0.0,,0.0,0.0,,,,
,FXID.BA,2025-09-19,8.426,368.0,0.0,,0.0,0.0,,,,
,IEURD.BA,2026-01-14,6.808571,95.0,3.9357,,0.0,0.0,,,,
,KOD.BA,2025-09-19,13.373638,172.0,0.0,,0.0,0.0,,,,
,KOD.BA,2025-09-19,13.218582,7.0,0.0,,0.0,0.0,,,,
,MSFTD.BA,2025-09-19,17.126229,141.0,0.0,,0.0,0.0,,,,
,NUD.BA,2025-12-05,8.88,231.0,12.41,,0.0,0.0,,,,
,QQQD.BA,2025-09-19,30.099934,30.0,0.0,,0.0,0.0,,,,
,NVDAD.BA,2026-09-04,9.9,102.0,6.1,,0.0,0.0,,,,
,MUD.BA,2026-09-07,214.0,5.0,6.48,,0.0,0.0,,,,
,AMDD.BA,2026-09-07,49.85,9.0,2.72,,0.0,0.0,,,,
cerrada,GLDD.BA,2025-09-19,6.929862,356.0,0.0,2026-02-05,9.167298,19.7445,,,,
cerrada,IEURD.BA,2026-01-14,6.808571,276.0,11.4343,2026-02-02,7.0435,11.76,,,,
cerrada,IEURD.BA,2026-01-14,6.808571,55.0,2.2786,2026-04-01,6.83,2.27,,,,
cerrada,IEURD.BA,2026-01-14,6.808571,225.0,9.3214,2026-04-01,6.72,9.14,,,,
cerrada,EWZD.BA,2025-09-19,15.565948,73.0,0.0,2026-04-14,21.8,9.628,,,,
cerrada,EWZD.BA,2025-09-19,15.565948,80.0,0.0,2026-04-14,21.8,10.5512,,,,
cerrada,AL30D,2026-04-14,0.643,2445.0,8.7513,2026-04-14,0.6422,8.7355,,,,
cerrada,AL30D,2026-04-14,0.6421,2691.0,9.6185,2026-04-14,0.6422,9.6145,,,,
cerrada,TSLAD.BA,2025-09-19,28.457387,73.0,0.0,2025-11-18,28.452239,12.5659,,,,
cerrada,GILDD.BA,2025-09-19,28.495643,70.0,0.0,2026-02-02,36.4145,15.42,,,,
cerrada,MELI.BA,2025-11-18,25580.0,116.0,17952.04,2026-02-04,26360.0,18499.44,,,,
dividendo,QQQD.BA,,,30.0,,2026-06-22,0.028472,0.0,,USD,,
dividendo,MSFTD.BA,,,141.0,,2026-08-20,0.030333,0.0,,USD,,
dividendo,MSFTD.BA,,,141.0,,2026-05-21,0.030333,0.0,,USD,,
dividendo,MSFTD.BA,,,141.0,,2026-02-19,0.030333,0.0,,USD,,
dividendo,MSFTD.BA,,,141.0,,2025-11-20,0.030333,0.0,,USD,,
dividendo,GILDD.BA,,,70.0,,2025-12-15,0.1975,0.0,,USD,,
dividendo,KOD.BA,,,179.0,,2026-06-12,0.106,0.0,,USD,,
dividendo,KOD.BA,,,179.0,,2026-03-13,0.106,0.0,,USD,,
dividendo,KOD.BA,,,179.0,,2025-12-01,0.102,0.0,,USD,,
